OriginRegion, DestinationRegion, EventName, IndustryCode, IndustryDescription, ImpactType, Output, Employment, WageAndSalaryEmployment, ProprietorEmployment, EmployeeCompensation, ProprietorIncome, TaxesOnProductionAndImports, OtherPropertyIncome, TagName
MISSING COUNTY,Montana (2024),MISSING COUNTY,411,Motion picture and video industries,Direct,502368.05556093133,1.9240568531907933,1.3355121801441447,0.5885446730466486,86528.47456786424,5276.5964600533825,13861.021808328305,88463.61144769214,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,1,Oilseed farming,Indirect,0.07211983161195695,1.1000483970489528E-07,2.0999436871272656E-08,8.900540283362263E-08,0.0014050495095916725,0.011308974149841743,0.004218742784879372,0.0420737604101071,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,2,Grain farming,Indirect,2.736561528414693,5.531937034346466E-06,9.290840233812486E-07,4.602853010965216E-06,0.08209750138800828,0.24982912722923176,-0.11218713833423603,0.1830319941145814,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,3,Vegetable and melon farming,Indirect,0.48212307538726695,2.2103504261962508E-06,1.3943391203051125E-06,8.160113058911386E-07,0.05141890845932008,0.12185984163117324,0.021243996181874412,0.0950190054672538,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,4,Fruit farming,Indirect,0.04018059700024609,2.8147944434136275E-07,1.6719590502407912E-07,1.1428353931728361E-07,0.005160970957850782,0.022575032251577146,0.0017551624445907288,0.007588602266743406,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,5,Tree nut farming,Indirect,8.028887274842839E-05,5.23537836936319E-10,0,5.23537836936319E-10,0,6.718429261689435E-05,9.785891713108457E-06,0,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,6,"Greenhouse, nursery, and floriculture production",Indirect,3.060397319192198,1.8913525433752365E-05,1.6598055623453352E-05,2.315469810299014E-06,0.832371368896747,0.39482439067123987,0.06339424399377615,0.1900144095880674,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,9,Sugarcane and sugar beet farming,Indirect,0.11383232424737262,2.546739065089314E-07,1.4541562526466664E-07,1.0925828124426477E-07,0.014720775030922853,0.009266949197003885,-1.0988067863803751E-05,0.017552197591176617,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,10,All other crop farming,Indirect,2.2207475630650695,3.0484644345968994E-05,3.0278920486507066E-06,2.7456752297318288E-05,0.34080157495416114,0.2381685460152712,-0.0005743335282751139,0.11789245731409204,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Indirect,1.9222231906265055,1.0848378881367388E-05,1.6554396967217945E-06,9.192939184645593E-06,0.05307899988729128,0.28981599121133467,0.06911439556743273,0.6140548940210159,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,12,Dairy cattle and milk production,Indirect,0.8377951676631152,2.1769015900243995E-06,1.6613915336921047E-06,5.155100563322948E-07,0.045977041707102075,0.11092337874320413,0.05216019409781604,0.0442138766370325,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,13,Poultry and egg production,Indirect,0.2776176911154088,2.2590687798867315E-07,1.281648650459256E-07,9.774201294274754E-08,0.01005667361991866,0.005505872462195721,0.014538812431171066,0.006649112836743971,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,14,"Animal production, except cattle and poultry and eggs",Indirect,4.837780712034171,3.7397861667560947E-05,7.003857839547654E-06,3.0394003828013296E-05,0.4300337010484225,1.5762271209507017,0.195269427127624,2.3697109830083414,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,15,"Forestry, forest products, and timber tract production",Indirect,0.04651850178619602,5.624109473373761E-07,3.078029522663999E-07,2.5460799507097623E-07,0.021918854190936286,0.011754495808349634,0.004134401350443042,0.005594779646292272,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,16,Commercial logging,Indirect,6.8358047904074155,7.714986051849586E-05,3.916589224119289E-05,3.7983968277302974E-05,3.345335521575066,1.7977554270755158,0.3200601272873068,-0.0017694937303336178,""
MISSING COUNTY,Montana (2024),MISSING COUNTY,17,Commercial fishing,Indirect,1.5798606824552286,7.875050972898115E-05,4.690629319955953E-07,7.828144679698555E-05,0.07086010511889568,1.1183239286148452,0.9078979470534243,-0.5288366678567494,""
