OriginRegion, DestinationRegion, EventName, IndustryCode, IndustryDescription, ImpactType, Output, Employment, WageAndSalaryEmployment, ProprietorEmployment, EmployeeCompensation, ProprietorIncome, TaxesOnProductionAndImports, OtherPropertyIncome, TagName
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,411,Motion picture and video industries,Direct,2880150.422778098,12.041008575490617,7.714157543414504,4.326851032076111,424060.18629287824,6775.359887399082,86773.55815474187,433543.93727612734,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,1,Oilseed farming,Indirect,0.0375426075344043,2.555062426280206E-08,1.0931440066909166E-08,1.4619184195892899E-08,0.0007314107801696803,0.0051997168593435885,0.002196103361881218,0.022734312573153653,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,2,Grain farming,Indirect,2.185780354090921,1.9978387224826472E-06,7.266382252095698E-07,1.2712004972730775E-06,0.06420859814768672,0.17287969505874498,-0.08960750211770648,0.17422584281776105,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,3,Vegetable and melon farming,Indirect,0.232803241990077,7.178292038368928E-07,6.370297618793755E-07,8.079944195751724E-08,0.023491684723563153,0.053890190167083615,0.010258109259741521,0.05217644917173544,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,4,Fruit farming,Indirect,0.002748833416293941,1.2385170804507785E-08,1.1445735139130893E-08,9.394356653768927E-10,0.0003533047453273418,0.006126915344598946,0.00012015320868080949,-0.004010632787898427,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,6,"Greenhouse, nursery, and floriculture production",Indirect,0.3779006113356428,2.0837199574735697E-06,2.049542824962887E-06,3.4177132510682316E-08,0.10278196467881957,0.08522025567228,0.007827978220400598,-0.014437791138918013,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,10,All other crop farming,Indirect,9.359582041956106,4.377825082598932E-05,1.1481551525078341E-05,3.229669930091098E-05,1.2922953592112814,1.2339045896542389,-0.0024205910958730315,0.3120745705122391,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Indirect,20.088658896390253,7.587286633819732E-05,4.1538861769733564E-05,3.433400456846375E-05,1.3318765060183473,4.049806492178381,0.722296726079878,4.565370720823637,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,13,Poultry and egg production,Indirect,0.033638024009654134,1.8843470163174064E-08,1.5529315838221218E-08,3.3141543249528465E-09,0.001218534119079067,0.00037123479575835945,0.0017616201606845132,0.0011015448591691589,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,14,"Animal production, except cattle and poultry and eggs",Indirect,16.379912259114544,4.8423024069975004E-05,2.1930201495257615E-05,2.6492822574717396E-05,1.3465044450919874,6.134377636586926,0.6661462044160862,7.152343905037671,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,16,Commercial logging,Indirect,1.0354598018102112,3.5143236474415474E-05,3.0754183248159665E-06,3.206781814959951E-05,0.16984552361539257,0.09346016921554727,0.14616789910065345,-8.983869845771574E-05,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,18,Commercial hunting and trapping,Indirect,0.04034046969937659,1.5216125535263107E-07,0,1.5216125535263107E-07,0,0.0363802668492767,0.0030122102199882424,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,19,Support activities for agriculture and forestry,Indirect,1.1815865935061622,6.677949270139003E-05,1.4691093258175805E-05,5.208839944321422E-05,1.0027693426467834,0.03962953092430901,0.14240827687998997,-0.0038561864955540827,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,20,Oil and gas extraction,Indirect,1106.7498759567209,0.0023232856772684185,0,0.0023232856772684185,0,20.515767762097184,155.80006962849845,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,25,Other metal ore mining,Indirect,0.06476937977095454,1.293624114172564E-07,1.1947942411265282E-07,9.882987304603549E-09,0.008509724447982718,0.0020624578454321264,0.010398234451833716,0.013809803505298915,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,26,Stone mining and quarrying,Indirect,180.64320610325717,0.00036666808772846117,0.00035007672717885435,1.6591360549606834E-05,46.57979724293567,7.446580788514307,14.603555269560337,41.53945095131129,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,29,Other nonmetallic mineral mining and quarrying,Indirect,1.4898518631714257,3.0157005607981305E-06,2.7500708070107465E-06,2.656297537873841E-07,0.5547994611001776,0.23166181377386508,0.08987533991635756,0.19149650522003117,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,31,Support activities for oil and gas operations,Indirect,1.570777919359495,1.1842060740104347E-05,9.83123887904934E-07,1.0858936852199413E-05,0.052727681152419964,0.06520527650626869,0.19751212902589685,0.01347335807348045,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,33,Other nonmetallic minerals services,Indirect,0.011228618376789623,5.3570287023597224E-08,6.356100822102916E-09,4.7214186201494317E-08,0.0005086768466343609,0.0003201596104885133,0.00046272460266403236,-4.578702691617964E-06,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,37,Electric power generation - Solar,Indirect,855.2977691816866,0.0012344450575439618,0.0011897931361021963,4.465192144176567E-05,209.41692918664197,-5.564710853267903,74.79419119056358,114.3622377623604,""
